,lon,lat,temp,hpa,wet,speed,dir,mm,height,t_time,pm25,pm25_24,pm10,pm10_24,aqi,time
154,116.1,39.93333333,16.5,1004.5,12.0,0.8,260.0,0.0,98.0,537.0,18.0,19.0,103.0,77.0,64.0,9.0
155,116.46666670000002,39.8,17.3,1012.5,10.0,3.7,37.0,0.0,31.3,537.0,6.0,13.0,43.0,71.0,61.0,9.0
156,116.2,39.95,17.0,1008.7,14.0,1.5,67.0,0.0,63.0,537.0,10.0,16.0,44.0,84.0,67.0,9.0
157,116.25,39.86666667,18.0,1009.7,11.0,2.6,74.0,0.0,55.2,537.0,13.0,19.0,43.0,85.0,68.0,9.0
158,116.35,39.71666667,17.7,1011.7,9.0,3.7,44.0,0.0,37.5,537.0,27.0,39.0,34.0,97.0,74.0,9.0
159,116.2,39.76666667,17.9,1010.5,9.0,3.6,94.0,0.0,48.9,537.0,10.0,26.0,30.0,50.0,51.0,9.0
160,116.61666670000001,40.13333333,18.5,1012.8,11.0,3.3,53.0,0.0,28.6,538.0,9.0,19.0,28.0,66.0,59.0,10.0
161,116.28333329999998,39.98333333,18.8,1010.4,10.0,1.5,140.0,0.0,45.8,538.0,15.0,18.0,27.0,43.0,44.0,10.0
162,115.96666670000002,40.45,14.5,959.0,12.0,2.2,171.0,0.0,487.9,538.0,30.0,19.0,64.0,68.0,60.0,10.0
163,116.86666670000001,40.38333333,18.9,1007.7,12.0,2.3,91.0,0.0,71.8,538.0,11.0,20.0,,,59.0,10.0
164,116.63333329999999,40.36666667,18.7,1006.9,10.0,3.8,121.0,0.0,75.7,538.0,7.0,16.0,56.0,51.0,51.0,10.0
165,117.11666670000001,40.65,16.6,981.6,9.0,2.2,84.0,0.0,293.3,538.0,10.0,13.0,,,62.0,10.0
166,117.11666670000001,40.16666667,19.0,1012.1,12.0,2.6,198.0,0.0,32.1,538.0,18.0,19.0,46.0,85.0,68.0,10.0
167,116.75,39.85,18.3,1013.5,11.0,4.9,39.0,0.0,19.8,538.0,3.0,15.0,9.0,76.0,64.0,10.0
168,116.5,39.95,18.1,1012.0,13.0,3.7,71.0,0.0,35.3,538.0,15.0,31.0,27.0,55.0,53.0,10.0
169,116.21666670000002,40.21666667,18.9,1006.8,11.0,2.7,167.0,0.0,76.2,538.0,22.0,21.0,27.0,29.0,30.0,10.0
170,116.1,39.93333333,18.2,1004.1,9.0,2.9,118.0,0.0,98.0,538.0,27.0,19.0,50.0,74.0,62.0,10.0
171,116.46666670000002,39.8,18.3,1012.2,10.0,3.8,71.0,0.0,31.3,538.0,11.0,12.0,51.0,68.0,60.0,10.0
172,116.2,39.95,18.1,1008.5,12.0,2.4,56.0,0.0,63.0,538.0,15.0,15.0,42.0,80.0,65.0,10.0
173,116.25,39.86666667,18.9,1009.4,10.0,3.3,74.0,0.0,55.2,538.0,10.0,18.0,45.0,81.0,66.0,10.0
